xi,k,w,rps,logloss,brier,acierto,n
0.003,4.0,0.0,0.19925,0.986506,0.586584,0.524446,2843
0.003,4.0,0.25,0.199475,0.987198,0.587198,0.521984,2843
0.003,4.0,0.5,0.200569,0.990521,0.58969,0.515301,2843
0.003,4.0,0.75,0.202576,0.996778,0.594164,0.512135,2843
0.003,4.0,1.0,0.205534,1.006425,0.600723,0.502286,2843
0.003,6.0,0.0,0.1996,0.987644,0.587292,0.524094,2843
0.003,6.0,0.25,0.199785,0.988186,0.5878,0.520225,2843
0.003,6.0,0.5,0.200753,0.991062,0.589992,0.518818,2843
0.003,6.0,0.75,0.202543,0.996535,0.593967,0.512487,2843
0.003,6.0,1.0,0.205194,1.004982,0.599821,0.501583,2843
0.003,8.0,0.0,0.20002,0.988985,0.588151,0.524798,2843
0.003,8.0,0.25,0.200176,0.989418,0.588579,0.521984,2843
0.003,8.0,0.5,0.201046,0.991964,0.590542,0.519522,2843
0.003,8.0,0.75,0.20267,0.996858,0.594134,0.512135,2843
0.003,8.0,1.0,0.205084,1.004428,0.599446,0.504397,2843
0.003,12.0,0.0,0.200919,0.991792,0.590002,0.526908,2843
0.003,12.0,0.25,0.201032,0.99207,0.590311,0.521632,2843
0.003,12.0,0.5,0.201761,0.994147,0.591941,0.519873,2843
0.003,12.0,0.75,0.203141,0.998218,0.594973,0.514246,2843
0.003,12.0,1.0,0.205204,1.00455,0.59949,0.507562,2843
0.003,16.0,0.0,0.201806,0.994494,0.591828,0.522687,2843
0.003,16.0,0.25,0.201887,0.994663,0.592052,0.51917,2843
0.003,16.0,0.5,0.202514,0.996412,0.593443,0.517763,2843
0.003,16.0,0.75,0.203718,0.99991,0.596074,0.514246,2843
0.003,16.0,1.0,0.20553,1.005384,0.600022,0.509321,2843
0.003,24.0,0.0,0.203421,0.999317,0.595155,0.520225,2843
0.003,24.0,0.25,0.203456,0.999334,0.595258,0.514597,2843
0.003,24.0,0.5,0.20394,1.000636,0.596316,0.516004,2843
0.003,24.0,0.75,0.2049,1.003359,0.598396,0.509673,2843
0.003,24.0,1.0,0.206365,1.007681,0.601562,0.506859,2843
0.004,0.0,0.0,0.199597,0.988272,0.587552,0.526556,2843
0.004,0.0,0.25,0.199995,0.98968,0.588621,0.521632,2843
0.004,0.0,0.5,0.201646,0.995191,0.592423,0.513894,2843
0.004,0.0,0.75,0.2046,1.005446,0.599097,0.508969,2843
0.004,0.0,1.0,0.208857,1.021079,0.608697,0.497362,2843
0.004,2.0,0.0,0.199371,0.987001,0.586991,0.525501,2843
0.004,2.0,0.25,0.199674,0.988018,0.587821,0.52128,2843
0.004,2.0,0.5,0.201065,0.992434,0.591011,0.51319,2843
0.004,2.0,0.75,0.203595,1.00068,0.596686,0.507562,2843
0.004,2.0,1.0,0.207305,1.013502,0.604973,0.498417,2843
0.004,4.0,0.0,0.199487,0.987318,0.58719,0.524446,2843
0.004,4.0,0.25,0.199741,0.988132,0.587889,0.520577,2843
0.004,4.0,0.5,0.200973,0.991941,0.590701,0.513542,2843
0.004,4.0,0.75,0.203231,0.999108,0.595745,0.51108,2843
0.004,4.0,1.0,0.206557,1.010204,0.60314,0.499472,2843
0.004,6.0,0.0,0.199749,0.988163,0.587712,0.524446,2843
0.004,6.0,0.25,0.199972,0.988846,0.588322,0.520225,2843
0.004,6.0,0.5,0.201091,0.992245,0.590866,0.515301,2843
0.004,6.0,0.75,0.203153,0.998683,0.595457,0.510025,2843
0.004,6.0,1.0,0.2062,1.008646,0.602206,0.497714,2843
0.004,8.0,0.0,0.200077,0.989209,0.588378,0.525149,2843
0.004,8.0,0.25,0.200277,0.989796,0.588922,0.524094,2843
0.004,8.0,0.5,0.20131,0.992891,0.591261,0.516708,2843
0.004,8.0,0.75,0.203221,0.998787,0.595502,0.510025,2843
0.004,8.0,1.0,0.20605,1.007916,0.601752,0.501935,2843
0.004,12.0,0.0,0.200797,0.991455,0.589854,0.521984,2843
0.004,12.0,0.25,0.200963,0.991906,0.5903,0.524446,2843
0.004,12.0,0.5,0.20187,0.994562,0.592336,0.518818,2843
0.004,12.0,0.75,0.203558,0.99968,0.596062,0.510728,2843
0.004,12.0,1.0,0.206064,1.007622,0.601574,0.503693,2843
0.004,16.0,0.0,0.201518,0.993654,0.591337,0.521984,2843
